Ent Station,Ext Station,"Riders, Average Weekday, May 2012"
Addison Road,Addison Road,7.8
Addison Road,Anacostia,10.4
Addison Road,Archives-Navy Memorial,35.2
Addison Road,Arlington Cemetery,0.4
Addison Road,Ballston,22.7
Addison Road,Benning Road,17.7
Addison Road,Bethesda,22.5
Addison Road,Braddock Road,2.6
Addison Road,Branch Avenue,2.2
Addison Road,Brookland,22.8
Addison Road,Capitol Heights,16
Addison Road,Capitol South,58.8
Addison Road,Cheverly,3
Addison Road,Clarendon,5.9
Addison Road,Cleveland Park,0.6
Addison Road,College Park-U of MD,4
Addison Road,Columbia Heights,12.6
Addison Road,Congress Heights,1.9
Addison Road,Court House,13.2
Addison Road,Crystal City,21.7
Addison Road,Deanwood,1.5
Addison Road,Dunn Loring,12.6
Addison Road,Dupont Circle,36.6
Addison Road,East Falls Church,0.7
Addison Road,Eastern Market,35.7
Addison Road,Eisenhower Avenue,2
Addison Road,Farragut North,28.3
Addison Road,Farragut West,229.8
Addison Road,Federal Center SW,71.6
Addison Road,Federal Triangle,108.2
Addison Road,Foggy Bottom,107.5
Addison Road,Forest Glen,0.2
Addison Road,Fort Totten,9.5
Addison Road,Franconia-Springfield,7.5
Addison Road,Friendship Heights,18.7
Addison Road,Gallery Place-Chinatown,41.5
Addison Road,Georgia Avenue-Petworth,6.7
Addison Road,Glenmont,1.1
Addison Road,Greenbelt,5.8
Addison Road,Grosvenor,4.8
Addison Road,Huntington,6.4
Addison Road,Judiciary Square,28.4
Addison Road,King Street,13
Addison Road,Landover,2.5
Addison Road,Largo Town Center,65.1
Addison Road,L'Enfant Plaza,101.4
Addison Road,McPherson Square,135.9
Addison Road,Medical Center,24.3
Addison Road,Metro Center,110.5
Addison Road,Minnesota Avenue,13.9
Addison Road,Morgan Blvd.,22.3
Addison Road,Mt. Vernon Square-UDC,6.5
Addison Road,Navy Yard,8.1
Addison Road,Naylor Road,1
Addison Road,New Carrollton,34.5
Addison Road,New York Ave,26.7
Addison Road,Pentagon,42.9
Addison Road,Pentagon City,24.5
Addison Road,Potomac Avenue,12.6
Addison Road,Prince George's Plaza,6.9
Addison Road,Reagan Washington National Airport,7.9
Addison Road,Rhode Island Avenue,12.7
Addison Road,Rockville,6.9
Addison Road,Rosslyn,52.3
Addison Road,Shady Grove,9.9
Addison Road,Shaw-Howard University,11.6
Addison Road,Silver Spring,21.6
Addison Road,Smithsonian,74.4
Addison Road,Southern Avenue,1.6
Addison Road,Stadium-Armory,29.3
Addison Road,Suitland,0.5
Addison Road,Takoma,5
Addison Road,Tenleytown-AU,15.2
Addison Road,Twinbrook,5.6
Addison Road,U Street-Cardozo,9.2
Addison Road,Union Station,53.5
Addison Road,Van Dorn Street,4.3
Addison Road,Van Ness-UDC,7
Addison Road,Vienna,4.1
Addison Road,Virginia Square-GMU,4.7
Addison Road,Waterfront,7.6
Addison Road,West Falls Church,18.5
Addison Road,West Hyattsville,1.1
Addison Road,Wheaton,3.3
Addison Road,White Flint,9.5
Addison Road,Woodley Park-Zoo,5
Anacostia,Addison Road,9.3
Anacostia,Anacostia,16.8
Anacostia,Archives-Navy Memorial,161
Anacostia,Arlington Cemetery,0.3
Anacostia,Ballston,30.9
Anacostia,Benning Road,11
Anacostia,Bethesda,19.7
Anacostia,Braddock Road,7.7
Anacostia,Branch Avenue,14.3
Anacostia,Brookland,66.4
Anacostia,Capitol Heights,10.7
Anacostia,Capitol South,13.8
Anacostia,Cheverly,2.4
Anacostia,Clarendon,5.4
Anacostia,Cleveland Park,5.3
Anacostia,College Park-U of MD,13.2
Anacostia,Columbia Heights,135.6
Anacostia,Congress Heights,10.2
Anacostia,Court House,9.6
Anacostia,Crystal City,34.4
Anacostia,Deanwood,11.2
Anacostia,Dunn Loring,6.7
Anacostia,Dupont Circle,56.1
Anacostia,East Falls Church,1.5
Anacostia,Eastern Market,8.4
Anacostia,Eisenhower Avenue,3.1
Anacostia,Farragut North,74.5
Anacostia,Farragut West,107
Anacostia,Federal Center SW,16.1
Anacostia,Federal Triangle,52.6
Anacostia,Foggy Bottom,110.9
Anacostia,Forest Glen,1.9
Anacostia,Fort Totten,60.6
Anacostia,Franconia-Springfield,15.6
Anacostia,Friendship Heights,21.6
Anacostia,Gallery Place-Chinatown,154.5
Anacostia,Georgia Avenue-Petworth,77.4
Anacostia,Glenmont,4.7
Anacostia,Greenbelt,17.8
Anacostia,Grosvenor,5.5
Anacostia,Huntington,10.7
Anacostia,Judiciary Square,56.9
Anacostia,King Street,18.5
Anacostia,Landover,4
Anacostia,Largo Town Center,12.9
Anacostia,L'Enfant Plaza,154.3
Anacostia,McPherson Square,107.6
Anacostia,Medical Center,34.5
Anacostia,Metro Center,63.1
Anacostia,Minnesota Avenue,59.3
Anacostia,Morgan Blvd.,3.8
Anacostia,Mt. Vernon Square-UDC,62.3
Anacostia,Navy Yard,75.5
Anacostia,Naylor Road,15
Anacostia,New Carrollton,22.7
Anacostia,New York Ave,48.7
Anacostia,Pentagon,79.9
Anacostia,Pentagon City,24.7
Anacostia,Potomac Avenue,9.1
Anacostia,Prince George's Plaza,21.3
Anacostia,Reagan Washington National Airport,8.7
Anacostia,Rhode Island Avenue,68.8
Anacostia,Rockville,9
Anacostia,Rosslyn,36
Anacostia,Shady Grove,12.6
Anacostia,Shaw-Howard University,87.8
Anacostia,Silver Spring,36.7
Anacostia,Smithsonian,28.8
Anacostia,Southern Avenue,18.1
Anacostia,Stadium-Armory,35.1
Anacostia,Suitland,51.1
Anacostia,Takoma,13.5
Anacostia,Tenleytown-AU,41.5
Anacostia,Twinbrook,8.8
Anacostia,U Street-Cardozo,68
Anacostia,Union Station,89.1
Anacostia,Van Dorn Street,4.9
Anacostia,Van Ness-UDC,21.4
Anacostia,Vienna,6.5
Anacostia,Virginia Square-GMU,5.6
Anacostia,Waterfront,52.6
Anacostia,West Falls Church,18.2
Anacostia,West Hyattsville,4.7
Anacostia,Wheaton,7.1
Anacostia,White Flint,8.6
Anacostia,Woodley Park-Zoo,9.5
Archives-Navy Memorial,Addison Road,0.6
Archives-Navy Memorial,Anacostia,12.3
Archives-Navy Memorial,Archives-Navy Memorial,9.4
Archives-Navy Memorial,Arlington Cemetery,0.3
Archives-Navy Memorial,Ballston,1
